Video_ID,Title,Channel_Name,Views,Likes,Comments,Age_In_Days,Engagement_Rate_%,Views_Per_Day,Video_URL,Description_Length
XcTzxw9JAnM,How YouTube Wants You to Make Shorts,Think Media,23945,862,120,201,4.1011,119.13,https://www.youtube.com/watch?v=XcTzxw9JAnM,4546
fKIqusb14E0,Most Viewed YouTube Shorts! *VIRAL*,Stay Wild Reacts,16456884,129000,4863,342,0.8134,48119.54,https://www.youtube.com/watch?v=fKIqusb14E0,217
E_goHQxVmb4,How to Make Money with YouTube Shorts (Full Guide),Alex Christian,326589,10000,938,270,3.3492,1209.59,https://www.youtube.com/watch?v=E_goHQxVmb4,1505
1EAus8qZeyM,How to Make a YouTube Short - Complete Beginner Guide,vidIQ,1778131,25000,2261,989,1.5331,1797.91,https://www.youtube.com/watch?v=1EAus8qZeyM,1001
oCxrIij2iXo,*NEW* World’s MOST Viewed YouTube Shorts!,MoreAliA,1307628,7500,443,85,0.6074,15383.86,https://www.youtube.com/watch?v=oCxrIij2iXo,1253
OG8DriyG0xo,fastest way to hit $10k/mo with yt shorts (copy me),Kellan Henneberry,32747,1700,254,30,5.967,1091.57,https://www.youtube.com/watch?v=OG8DriyG0xo,697
aNxphBq2CnE,Roasting Cringe YouTube Shorts,Clouds ,2567471,17000,3176,349,0.7858,7356.65,https://www.youtube.com/watch?v=aNxphBq2CnE,581
Jw541jySrpU,Speedrunning 300 YT Shorts (Any% Brainrot WORLD RECORD) (real),Joe Caine,1535610,26000,1996,243,1.8231,6319.38,https://www.youtube.com/watch?v=Jw541jySrpU,1300
Xib-4U5k8_Y,#Youtube #funny #fyp #foryou #shorts,TrieuHa Dang,1224806,4700,335,188,0.4111,6514.93,https://www.youtube.com/watch?v=Xib-4U5k8_Y,0
XRT47Wgito8,200 Genius Secrets I Learned on YouTube Shorts!,MoreAliA,1924221,17000,534,32,0.9112,60131.91,https://www.youtube.com/watch?v=XRT47Wgito8,1259
NRBVlE1x5lI,I hope she is happy #relatablestories #comedy #funnymemes,Tyler Vitelli,5144611,97000,9004,2,2.0605,2572305.5,https://www.youtube.com/shorts/NRBVlE1x5lI,241
suYyZfnrFIU,Genius Secrets I Learned on YouTube Shorts!,MoreAliA,2089531,13000,625,88,0.6521,23744.67,https://www.youtube.com/watch?v=suYyZfnrFIU,1255
ygeCgN-SfE8,"how i make $36,438/mo posting YouTube Shorts (using AI)",Kellan Henneberry,663739,35000,4417,140,5.9386,4740.99,https://www.youtube.com/watch?v=ygeCgN-SfE8,778
FEDE9Cidt3M,I Tried Copying Viral YouTube Shorts for 30 Days (Real Results),Ollex,216511,7900,548,127,3.9019,1704.81,https://www.youtube.com/watch?v=FEDE9Cidt3M,551
gEQ0BLyVJhY,How to make shorts that go viral every time,LOGAN E. SMITH,2222583,107000,9785,638,5.2545,3483.67,https://www.youtube.com/watch?v=gEQ0BLyVJhY,449
VDFl1JvRDEw,I Tried YouTube Shorts for 7 Days (complete beginner),Jaxon Poulton,120121,4700,486,388,4.3173,309.59,https://www.youtube.com/watch?v=VDFl1JvRDEw,555
hAdTgqW1fPw,Ugly hot cheetos for Gold Lady  #youtubeshorts #hotcheeto #trending #shorts #viral,GoldLadyMaria,31313039,264000,210,585,0.8438,53526.56,https://www.youtube.com/shorts/hAdTgqW1fPw,0
vDG2254Vj3c,When Parents SPELL In Front Of Kids #shorts,Kallmekris,28277306,1800000,10508,1214,6.4027,23292.67,https://www.youtube.com/shorts/vDG2254Vj3c,0
5-rj4-Cs4Y4,“ITS ALWAYS WARM RIGHT HERE” 🥹🩷 #trending #popular #cute #tiktok #shorts #bff #sisters #happy,PurpleStars02,699633,7900,1114,2,1.2884,349816.5,https://www.youtube.com/shorts/5-rj4-Cs4Y4,0
Pz2YBSx2Sh0,Satisfying is an understatement 🤩 #youtubeshorts #shorts #beauty #makeup #satisfying,Mrs.Contour,20901861,227000,312,284,1.0875,73598.1,https://www.youtube.com/shorts/Pz2YBSx2Sh0,0
FGmq1krsRwc,Youtube Shorts Comments Are Cooked...,MANDO,1735956,45000,10732,352,3.2105,4931.69,https://www.youtube.com/watch?v=FGmq1krsRwc,15
5ODn8PFmPQg,How To Make Money with Youtube Shorts in 2026,Money Guy,52139,2400,232,41,5.048,1271.68,https://www.youtube.com/watch?v=5ODn8PFmPQg,1687
2jNdR_o7TGU,POV: your ex walks in with a new girlfriend 💔 | #tiktok #shorts #foryou #fyp #michellekennelly #pov,Michelle Kennelly,88608345,0,10524,1289,0.0119,68741.93,https://www.youtube.com/shorts/2jNdR_o7TGU,0
IXx-lvDK2fo,You have thing called FINGER 💅🏽 #fyp #viral #shorts #funny #relatable #school #trending,INAFISH,25894749,629000,6669,252,2.4548,102756.94,https://www.youtube.com/shorts/IXx-lvDK2fo,0
NvFtEDN6oLg,THAT’S MY ROOM!😠 #shorts,D.C.’s Family,41669466,333000,789,533,0.801,78179.11,https://www.youtube.com/shorts/NvFtEDN6oLg,16
w8sB13HRwXc,Got choked out by my kid #shorts,The McCartys,42271640,548000,1099,1608,1.299,26288.33,https://www.youtube.com/shorts/w8sB13HRwXc,0
sxmTTS4qros,Trying not to laugh! 🤣🤣 (4k memes) #shorts.  click the blue Join button to support my animations,Rico Animations,198654177,4500000,35801,1016,2.2833,195525.76,https://www.youtube.com/shorts/sxmTTS4qros,437
nxUfX-s-mEc,Buying evening my sister touches at dollar tree #shopping #shoppinghaul #shoppingvideo #shorts,Marshallese Sisters,22963928,280000,583,228,1.2218,100718.98,https://www.youtube.com/shorts/nxUfX-s-mEc,0
OMOF6l8Radk,Making the PERFECT movie night 🍿 #shorts,Jezelle Catherine,5083618,84000,367,204,1.6596,24919.7,https://www.youtube.com/shorts/OMOF6l8Radk,0
yqHhF-6sk5Q,My baby girl is a teenager 🎉 #jonathanjoly #shorts #teenagers,Jonathan Joly,8243576,116000,11897,189,1.5515,43616.8,https://www.youtube.com/shorts/yqHhF-6sk5Q,0
J9NC5ZWYKgE,And that’s what you call Karma…😈💀 #comedy #shorts ￼,marrkadams,4203923,99000,1066,194,2.3803,21669.71,https://www.youtube.com/shorts/J9NC5ZWYKgE,0
-1Urg2OcLGk,Singing in the shower! 🚿 #shorts #trending #viral #funny #fyp #video #viralvideos,agset211,1047438,7500,211,3,0.7362,349146.0,https://www.youtube.com/shorts/-1Urg2OcLGk,0
a2vJLW0ZkX0,Sagawa1gou funny video 😂😂😂 | SAGAWA Best Shorts 2022 #shorts,Sagawa /さがわ,190515002,1600000,9872,1318,0.845,144548.56,https://www.youtube.com/shorts/a2vJLW0ZkX0,0
RlSAFOFCQlE,POV: you forgot she has a tail… (yoga janelle monae) #yoga #shorts #funny,brookecarolineb,141796,2200,34,3,1.5755,47265.33,https://www.youtube.com/shorts/RlSAFOFCQlE,130
RxMwhHzZvuU,WHERE DOES THE TIME GO?🥹💞 #shorts #sisters #bestfriends,The Mir Fam,25967020,171000,0,509,0.6585,51015.76,https://www.youtube.com/shorts/RxMwhHzZvuU,0
fHJG5ahdrIg,"#pov ""Attractive"" and""unattractive"" are both treated differently… #shorts #youtubeshorts",Bianca Limon,7842230,116000,941,635,1.4912,12349.97,https://www.youtube.com/shorts/fHJG5ahdrIg,0
Zjz_G84TxJM,Sport prank with girl! 😂 #shorts,Bugworkout,69879126,529000,1417,1637,0.759,42687.31,https://www.youtube.com/shorts/Zjz_G84TxJM,14
k3J4h7285hg,This was unexpected 😩 #jonathanjoly #shorts #daughter ￼,Jonathan Joly,18884172,122000,802,299,0.6503,63157.77,https://www.youtube.com/shorts/k3J4h7285hg,0
